section_id,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BS0121HL|274|1.5,,,,,,,,,90.0,73.0,76.0,99.0,57.0,95.0,99.0,95.0,100.0,98.0,100.0,78.0,71.0,70.0,92.0,93.0,91.0,92.0,95.0,,
BS0121HL|276|0.0,,,,,,,,,100.0,96.0,95.0,91.0,58.0,99.0,99.0,37.0,90.0,84.0,90.0,100.0,99.0,52.0,68.0,35.0,34.0,47.0,78.0,,
BS0121HL|276|0.5,,,,,,,,,,95.0,90.0,100.0,83.0,90.0,,71.0,96.0,90.0,84.0,95.0,79.0,82.0,90.0,73.0,46.0,46.0,100.0,,
BS0121HR|270|0.0,,,,,,,,,100.0,82.0,96.0,89.0,74.0,91.0,82.0,70.0,91.0,100.0,71.0,100.0,71.0,97.0,100.0,46.0,45.0,45.0,45.0,,
BS0121HR|270|0.4,,,,,,,,,100.0,100.0,95.0,71.0,84.0,100.0,78.0,48.0,95.0,100.0,90.0,100.0,,,,,,,,,
BS0121HR|270|0.9,,,,,,,,,100.0,100.0,95.0,78.0,100.0,99.0,59.0,43.0,95.0,95.0,100.0,99.0,,,,,,,,,
BS0121HR|270|1.4,,,,,,,,,100.0,100.0,100.0,99.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,71.0,,,,,,,,,
BS0121HR|272|0.0,,,,,,,,,100.0,99.0,100.0,78.0,71.0,100.0,65.0,78.0,100.0,100.0,100.0,100.0,90.0,86.0,18.0,96.0,47.0,84.0,100.0,,
BS0121HR|272|0.5,,,,,,,,,100.0,100.0,90.0,100.0,90.0,78.0,100.0,19.0,100.0,100.0,90.0,100.0,100.0,82.0,88.0,57.0,6.0,13.0,99.0,,
BS0121HR|272|1.0,,,,,,,,,78.0,80.0,95.0,100.0,42.0,86.0,,22.0,81.0,99.0,95.0,59.0,90.0,76.0,24.0,84.0,44.0,61.0,53.0,,
BS0121HR|272|1.5,,,,,,,,,100.0,95.0,71.0,71.0,96.0,59.0,92.0,1.0,100.0,91.0,65.0,99.0,,,,27.0,9.0,7.0,30.0,,
BS0121HR|274|0.0,,,,,,,,,99.0,99.0,100.0,78.0,90.0,100.0,84.0,100.0,95.0,71.0,71.0,95.0,90.0,82.0,74.0,95.0,95.0,87.0,95.0,,
BS0121HR|274|0.5,,,,,,,,,100.0,99.0,95.0,100.0,95.0,95.0,99.0,90.0,100.0,99.0,100.0,99.0,100.0,83.0,6.0,60.0,48.0,49.0,86.0,,
BS0121HR|274|1.0,,,,,,,,,100.0,100.0,100.0,99.0,71.0,100.0,100.0,99.0,95.0,78.0,100.0,100.0,91.0,92.0,67.0,80.0,58.0,80.0,93.0,,
BS0121HR|274|1.5,,,,,,,,,100.0,100.0,100.0,84.0,,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,98.0,100.0,91.0,91.0,85.0,100.0,,
BS0121HR|276|0.0,,,,,,,,,100.0,100.0,100.0,53.0,100.0,100.0,84.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,87.0,98.0,90.0,100.0,,
BS0121HR|276|0.5,,,,,,,,,,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,,,100.0,91.0,98.0,100.0,100.0,100.0,100.0,,
BS0288BL|522|1.5,,,,72.0,55.0,85.0,45.0,47.0,58.0,35.0,40.0,72.0,50.0,39.0,71.0,72.0,33.0,42.0,72.0,38.0,,,,,,,,,
BS0288BL|524|0.0,,,,22.0,,55.0,20.0,24.0,14.0,18.0,25.0,,6.0,19.0,15.0,18.0,24.0,21.0,27.0,27.0,20.0,96.0,85.0,,1.0,94.0,91.0,90.0,90.0
BS0288BR|522|1.5,,100.0,,41.0,66.0,38.0,29.0,32.0,48.0,33.0,32.0,20.0,44.0,33.0,34.0,37.0,32.0,32.0,35.0,30.0,,,,,,,,,
BS0288BR|524|0.0,,100.0,,68.0,,47.0,34.0,42.0,25.0,34.0,20.0,,23.0,17.0,9.0,20.0,12.0,14.0,13.0,11.0,,23.0,1.0,1.0,1.0,84.0,78.0,77.0,81.0
BU0067MK|452|0.5,,,,,78.0,59.0,84.0,48.0,48.0,30.0,34.0,48.0,71.0,42.0,,,,,,,,52.0,48.0,61.0,71.0,65.0,59.0,44.0,42.0
BU0077LL|350|0.7,,,,,,69.0,69.0,1.0,,,71.0,53.0,90.0,71.0,78.0,71.0,71.0,78.0,71.0,71.0,,,,,,,,,
BU0077LL|350|1.2,,,,,,31.0,1.0,1.0,,,48.0,10.0,95.0,38.0,43.0,43.0,43.0,43.0,38.0,38.0,,,,,,,,,
BU0077LL|350|1.7,,,,,,25.0,1.0,1.0,,,48.0,29.0,48.0,43.0,43.0,48.0,38.0,48.0,34.0,33.0,,,,,,,,,
BU0077LL|352|0.0,,,,,,25.0,1.0,1.0,,,48.0,22.0,43.0,38.0,34.0,34.0,38.0,59.0,26.0,22.0,22.0,1.0,18.0,1.0,1.0,1.0,1.0,,
BU0077LL|352|0.5,,,,,,44.0,1.0,,,,78.0,65.0,38.0,65.0,65.0,65.0,65.0,78.0,78.0,95.0,95.0,15.0,100.0,1.0,1.0,1.0,1.0,100.0,100.0
BU0077LR|350|0.4,,,,,,100.0,,100.0,,100.0,100.0,95.0,99.0,100.0,75.0,98.0,100.0,100.0,,,,,,,,,,,
BU0077LR|350|0.7,,,,,,62.0,50.0,1.0,,,95.0,95.0,90.0,84.0,84.0,90.0,84.0,78.0,71.0,71.0,,,,,,,,,
BU0077LR|350|1.2,,,,,,38.0,1.0,1.0,1.0,,90.0,71.0,84.0,71.0,59.0,71.0,78.0,53.0,43.0,43.0,,,,,,,,,
BU0077LR|350|1.7,,,,,,35.0,1.0,1.0,1.0,,90.0,78.0,65.0,36.0,59.0,59.0,63.0,52.0,34.0,28.0,,,,,,,,,
BU0077LR|352|0.0,,,,,,41.0,1.0,1.0,,,71.0,78.0,65.0,59.0,53.0,48.0,65.0,43.0,43.0,15.0,29.0,11.0,49.0,1.0,1.0,1.0,1.0,,
BU0077LR|352|0.5,,,,,,,1.0,1.0,1.0,,78.0,60.0,71.0,65.0,71.0,65.0,71.0,65.0,71.0,100.0,99.0,51.0,100.0,15.0,1.0,12.0,100.0,100.0,100.0
BU0077LX|352|0.0,,,,,,,,,,,,87.0,,,,77.0,,57.0,65.0,53.0,65.0,1.0,70.0,1.0,1.0,1.0,1.0,,
BU0090YK|438|0.0,9.0,,70.0,,49.0,50.0,45.0,,,100.0,100.0,100.0,100.0,93.0,93.0,100.0,100.0,100.0,100.0,,95.0,100.0,100.0,100.0,100.0,100.0,96.0,100.0,100.0
BU0090YK|438|0.5,15.0,,74.0,,27.0,28.0,42.0,,,100.0,100.0,100.0,100.0,91.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,86.0,84.0,85.0,100.0,100.0
BU0090YK|438|1.0,83.0,,63.0,,50.0,44.0,27.0,45.0,75.0,,78.0,84.0,,75.0,87.0,34.0,59.0,99.0,65.0,100.0,95.0,65.0,99.0,40.0,98.0,98.0,98.0,100.0,100.0
BU0090YK|438|1.5,79.0,,65.0,,50.0,42.0,36.0,61.0,31.0,,53.0,,,59.0,53.0,38.0,53.0,53.0,59.0,95.0,48.0,55.0,51.0,56.0,54.0,52.0,57.0,,
