section_id,roadbed,begin_marker,begin_disp,district,county,pavtype,begin_dfo,end_dfo,n_years,lon,lat
BS0121HR|270|1.4,BS0121HR,270,1.4,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),2.503,3.086,12,-96.964668,33.045487
BS0121HR|272|0.0,BS0121HR,272,0.0,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),3.086,3.586,19,-96.974351,33.044324
BS0121HR|272|0.5,BS0121HR,272,0.5,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),3.586,4.086,19,-96.98189,33.042518
BS0121HR|272|1.0,BS0121HR,272,1.0,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),4.086,4.586,18,-96.988125,33.03806
BS0121HR|272|1.5,BS0121HR,272,1.5,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),4.586,5.176,16,-96.992445,33.031566
BS0121HR|274|0.0,BS0121HR,274,0.0,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),5.176,5.676,19,-96.993021,33.023399
BS0121HR|274|0.5,BS0121HR,274,0.5,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),5.676,6.176,19,-96.993091,33.015915
BS0121HR|274|1.0,BS0121HR,274,1.0,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),6.176,6.676,19,-96.993155,33.008849
BS0121HR|274|1.5,BS0121HR,274,1.5,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),6.676,7.18,18,-96.994726,33.001319
BS0121HR|276|0.0,BS0121HR,276,0.0,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),7.18,7.68,18,-97.001382,32.996483
BS0121HR|276|0.5,BS0121HR,276,0.5,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),7.68,8.28,16,-97.007527,32.991921
BS0288BL|522|1.5,BS0288BL,522,1.5,12 - HOUSTON,20 - BRAZORIA,J - JOINTED CONCRETE PAVEMENT (JCP),19.481,19.97,17,-95.387476,29.002092
BS0288BL|524|0.0,BS0288BL,524,0.0,12 - HOUSTON,20 - BRAZORIA,J - JOINTED CONCRETE PAVEMENT (JCP),19.97,20.17,23,-95.386542,29.000487
BS0288BR|522|1.5,BS0288BR,522,1.5,12 - HOUSTON,20 - BRAZORIA,J - JOINTED CONCRETE PAVEMENT (JCP),19.482,19.974,18,-95.38776,29.002327
BS0288BR|524|0.0,BS0288BR,524,0.0,12 - HOUSTON,20 - BRAZORIA,J - JOINTED CONCRETE PAVEMENT (JCP),19.974,20.174,24,-95.386894,29.000646
BU0067MK|452|0.5,BU0067MK,452,0.5,02 - FORT WORTH,127 - JOHNSON,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),3.644,4.244,18,-97.378452,32.349207
BU0077LL|350|0.7,BU0077LL,350,0.7,09 - WACO,161 - MCLENNAN,J - JOINTED CONCRETE PAVEMENT (JCP),4.682333333333333,5.182333333333333,13,-97.101745,31.560113
BU0077LL|350|1.2,BU0077LL,350,1.2,09 - WACO,161 - MCLENNAN,J - JOINTED CONCRETE PAVEMENT (JCP),5.182333333333333,5.682333333333333,13,-97.104092,31.564089
BU0077LL|350|1.7,BU0077LL,350,1.7,09 - WACO,161 - MCLENNAN,J - JOINTED CONCRETE PAVEMENT (JCP),5.682333333333333,5.929,13,-97.106593,31.567509
BU0077LL|352|0.0,BU0077LL,352,0.0,09 - WACO,161 - MCLENNAN,J - JOINTED CONCRETE PAVEMENT (JCP),5.929,6.429,20,-97.104723,31.564919
BU0077LL|352|0.5,BU0077LL,352,0.5,09 - WACO,161 - MCLENNAN,J - JOINTED CONCRETE PAVEMENT (JCP),6.429,6.829,21,-97.101806,31.560307
BU0077LR|350|0.4,BU0077LR,350,0.4,09 - WACO,161 - MCLENNAN,J - JOINTED CONCRETE PAVEMENT (JCP),4.387,4.687,11,-97.102445,31.554932
BU0077LR|350|0.7,BU0077LR,350,0.7,09 - WACO,161 - MCLENNAN,J - JOINTED CONCRETE PAVEMENT (JCP),4.687,5.187,13,-97.102069,31.559199
BU0077LR|350|1.2,BU0077LR,350,1.2,09 - WACO,161 - MCLENNAN,J - JOINTED CONCRETE PAVEMENT (JCP),5.187,5.687,14,-97.104206,31.563647
BU0077LR|350|1.7,BU0077LR,350,1.7,09 - WACO,161 - MCLENNAN,J - JOINTED CONCRETE PAVEMENT (JCP),5.687,5.934,14,-97.106835,31.567621
BU0077LR|352|0.0,BU0077LR,352,0.0,09 - WACO,161 - MCLENNAN,J - JOINTED CONCRETE PAVEMENT (JCP),5.934,6.434,20,-97.104693,31.564387
BU0077LR|352|0.5,BU0077LR,352,0.5,09 - WACO,161 - MCLENNAN,J - JOINTED CONCRETE PAVEMENT (JCP),6.434,6.834,22,-97.102099,31.559302
BU0077LX|352|0.0,BU0077LX,352,0.0,09 - WACO,161 - MCLENNAN,J - JOINTED CONCRETE PAVEMENT (JCP),5.928,6.428,12,-97.106795,31.568182
